Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
Palm Drive,Lawn,31.1.1,rhus.cop,1,,,
Palm Drive,Lawn,31.1.1,viti.rot,20,,,
Palm Drive,Lawn,31.1.1,toxi.rad,10,,,
Palm Drive,Lawn,31.1.1,bide.alb,1,,,
Palm Drive,Lawn,31.1.1,meli.rep,5,,,
Palm Drive,Lawn,31.1.1,ardi.esc,1,,,
Palm Drive,Lawn,31.1.1,gali.ber,1,,,
Palm Drive,Lawn,31.1.1,cass.fil,1,,,
Palm Drive,Lawn,31.1.1,mori.roy,1,,,
Palm Drive,Lawn,31.1.1,pter.aqu,1,,,
Palm Drive,Lawn,31.1.1,pass.sub,1,,,
Palm Drive,Lawn,31.1.1,zami.int,1,,,
Palm Drive,Lawn,31.1.1,guet.sca,1,,,
Palm Drive,Lawn,31.1.10,asem.vio,,,,
Palm Drive,Lawn,31.1.10,chio.pin,,,,
Palm Drive,Lawn,31.1.10,ardi.esc,,,,
Palm Drive,Lawn,31.1.10,rhyn.min,,,,
Palm Drive,Lawn,31.1.10,part.qui,,,,
Palm Drive,Lawn,31.1.10,smil.aur,,,,
Palm Drive,Lawn,31.1.10,koan.vil,,,,
Palm Drive,Lawn,31.1.10,side.sal,,,,
Palm Drive,Lawn,31.1.10,pter.aqu,,,,
Palm Drive,Lawn,31.1.10,momo.cha,,,,
Palm Drive,Lawn,31.1.10,anem.adi,,,,
Palm Drive,Lawn,31.1.10,sida.rho,,,,
Palm Drive,Lawn,31.1.10,lant.str,,,,
Palm Drive,Lawn,31.4.1,bide.alb,20,,,
Palm Drive,Lawn,31.4.1,viti.rot,5,,,
Palm Drive,Lawn,31.4.1,meli.rep,10,,,
Palm Drive,Lawn,31.4.1,ambr.art,1,,,
Palm Drive,Lawn,31.4.1,cham.hyp,1,,,
Palm Drive,Lawn,31.4.1,euph.gra,1,,,
Palm Drive,Lawn,31.4.10,smil.aur,,,,
Palm Drive,Lawn,31.4.10,ardi.esc,,,,
Palm Drive,Lawn,31.4.10,ruel.ble,,,,
Palm Drive,Lawn,31.4.10,euph.sp.,,,,
Palm Drive,Lawn,31.4.10,rhus.cop,,,,
Palm Drive,Lawn,31.4.10,gali.ber,,,,
Palm Drive,Lawn,31.4.10,toxi.rad,,,,
Palm Drive,Lawn,31.4.10,andr.glo,,,,
Palm Drive,Lawn,31.4.10,chro.odo,,,,
Palm Drive,Lawn,31.4.10,senn.mex,,,,
Palm Drive,Lawn,31.4.10,rand.acu,,,,
Palm Drive,Lawn,31.4.10,rhyn.min,,,,
Palm Drive,Lawn,31.4.10,mico.bic,,,,
Palm Drive,Lawn,31.4.10,pasp.blo,,,,
Palm Drive,Lawn,31.4.10,schi.san,,,,
Palm Drive,Lawn,31.4.10,guet.sca,,,,
Palm Drive,Lawn,31.4.10,trem.mic,,,,
Palm Drive,Lawn,31.4.10,cony.can,,,,
Palm Drive,Lawn,31.4.10,part.hys,,,,
Palm Drive,Lawn,31.4.10,macr.lat,,,,
Palm Drive,Lawn,31.4.10,myrs.cub,,,,
Palm Drive,Lawn,31_100,psyc.ner,,,,
Palm Drive,Lawn,31_100,phyl.pen,,,,
Palm Drive,Lawn,31_100,cham.las,,,,
Palm Drive,Lawn,31_100,koan.vil,,,,
Palm Drive,Lawn,31_100,rand.acu,,,,
Palm Drive,Lawn,31_100,cass.fil,,,,
Palm Drive,Lawn,31_100,sorg.sp.,,,,
Palm Drive,Lawn,31_100,acal.arv,,,,
Palm Drive,Lawn,31_100,ambr.art,,,,
Palm Drive,Lawn,31_100,cony.can,,,,
Palm Drive,Lawn,31_100,pter.bah,,,,
Palm Drive,Lawn,31_100,smil.aur,,,,
Palm Drive,Lawn,31_100,sere.rep,,,,
Palm Drive,Lawn,31_100,lant.inv,,,,
Palm Drive,Lawn,31_100,gali.ber,,,,
Palm Drive,Lawn,31_100,crot.pum,,,,
Palm Drive,Lawn,31_100,mico.bic,,,,
Palm Drive,Lawn,31_100,desm.inc,,,,
Palm Drive,Lawn,31_100,zami.int,,,,
Palm Drive,Lawn,32.2.1,smil.bon,1,,,
Palm Drive,Lawn,32.2.1,viti.rot,5,,,
Palm Drive,Lawn,32.2.1,sere.rep,10,,,
Palm Drive,Lawn,32.2.1,gali.ber,1,,,
Palm Drive,Lawn,32.2.1,part.qui,5,,,
Palm Drive,Lawn,32.2.1,toxi.rad,1,,,
Palm Drive,Lawn,32.2.1,koan.vil,1,,,
Palm Drive,Lawn,32.2.1,guet.sca,5,,,
Palm Drive,Lawn,32.2.1,myrs.cub,1,,,
Palm Drive,Lawn,32.2.1,anem.adi,5,,,
Palm Drive,Lawn,32.2.1,trag.sax,1,,,
Palm Drive,Lawn,32.2.1,rand.acu,1,,,
Palm Drive,Lawn,32.2.1,ardi.esc,1,,,
Palm Drive,Lawn,32.2.10,pter.aqu,,,,
Palm Drive,Lawn,32.2.10,trem.mic,,,,
Palm Drive,Lawn,32.2.10,mori.roy,,,,
Palm Drive,Lawn,32.2.10,pass.sub,,,,
Palm Drive,Lawn,32.2.10,zami.int,,,,
Palm Drive,Lawn,32.2.10,mico.bic,,,,
Palm Drive,Lawn,32.2.10,guet.sca,,,,
Palm Drive,Lawn,32.2.10,side.sal,,,,
Palm Drive,Lawn,32.2.10,koan.vil,,,,
Palm Drive,Lawn,32.2.10,anem.adi,,,,
Palm Drive,Lawn,32.4.1,zami.fur,20,,,
Palm Drive,Lawn,32.4.1,smil.bon,5,,,
Palm Drive,Lawn,32.4.1,smil.aur,1,,,
Palm Drive,Lawn,32.4.1,neph.cor,5,,,
Palm Drive,Lawn,32.4.1,part.qui,5,,,
Palm Drive,Lawn,32.4.1,viti.rot,5,,,
Palm Drive,Lawn,32.4.1,pter.aqu,5,,,
Palm Drive,Lawn,32.4.1,rhus.cop,5,,,
Palm Drive,Lawn,32.4.1,rhyn.min,1,,,
Palm Drive,Lawn,32.4.1,gal.iber,1,,,
Palm Drive,Lawn,32.4.1,side.sal,1,,,
Palm Drive,Lawn,32.4.1,jasm.flu,1,,,
Palm Drive,Lawn,32.4.1,toxi.rad,1,,,
Palm Drive,Lawn,32.4.10,chro.odo,,,,
Palm Drive,Lawn,32.4.10,bide.alb,,,,
Palm Drive,Lawn,32.4.10,trem.mic,,,,
Palm Drive,Lawn,32.4.10,sere.rep,,,,
Palm Drive,Lawn,32.4.10,ardi.esc,,,,
Palm Drive,Lawn,32.4.10,side.sal,,,,
Palm Drive,Lawn,32_100,myrs.cub,,,,
Palm Drive,Lawn,32_100,rand.acu,,,,
Palm Drive,Lawn,32_100,crot.pum,,,,
Palm Drive,Lawn,32_100,lant.str,,,,
Palm Drive,Lawn,32_100,saba.pal,,,,
Palm Drive,Lawn,32_100,meli.rep,,,,
Palm Drive,Lawn,32_100,cham.hyp,,,,
Palm Drive,Lawn,32_100,ambr.art,,,,
Palm Drive,Lawn,32_100,cham.as,,,,
Palm Drive,Lawn,32_100,koan.vil,,,,
Palm Drive,Lawn,32_100,pasp.blo,,,,
Palm Drive,Lawn,32_100,gali.ber,,,,
Palm Drive,Lawn,32_100,chro.odo,,,,
Palm Drive,Lawn,32_100,cham.dee,,,,
Palm Drive,Lawn,32_100,chio.pin,,,,
Palm Drive,Lawn,32_100,desm.inc,,,,
Palm Drive,Lawn,32_100,mico.bic,,,,
Palm Drive,Lawn,32_100,anem.adi,,,,
Palm Drive,Lawn,32_100,lysi.lat,,,,
Palm Drive,Lawn,32_100,viti.shu,,,,
Palm Drive,Lawn,40.1.1,ambr.art,30,,,
Palm Drive,Lawn,40.1.1,bide.alb,10,,,
Palm Drive,Lawn,40.1.1,macr.lat,5,,,
Palm Drive,Lawn,40.1.1,part.hys,15,,,
Palm Drive,Lawn,40.1.1,euph.gra,1,,,
Palm Drive,Lawn,40.1.1,rhus.cop,1,,,
Palm Drive,Lawn,40.1.1,koan.vil,1,,,
Palm Drive,Lawn,40.1.1,meli.rep,5,,,
Palm Drive,Lawn,40.1.1,indi.spi,1,,,
Palm Drive,Lawn,40.1.1,acal.arv,1,,,
Palm Drive,Lawn,40.1.1,cham.hyp,1,,,
Palm Drive,Lawn,40.1.1,euph.het,1,,,
Palm Drive,Lawn,40.1.1,sper.tet,1,,,
Palm Drive,Lawn,40.1.1,cham.las,5,,,
Palm Drive,Lawn,40.1.10,spor.pyr,,,,
Palm Drive,Lawn,40.1.10,sida.rho,,,,
Palm Drive,Lawn,40.1.10,cony.can,,,,
Palm Drive,Lawn,40.1.10,eust.pet,,,,
Palm Drive,Lawn,40.1.10,mori.roy,,,,
Palm Drive,Lawn,40.1.10,ruel.cil,,,,
Palm Drive,Lawn,40.1.10,phyl.nod,,,,
Palm Drive,Lawn,40.1.10,erem.oph,,,,
