Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
Ingram,Center,31.1.1,Meto.tox,5,,,
Ingram,Center,31.1.1,Sere.rep,5,,,
Ingram,Center,31.1.1,Koan.vil,1,,,
Ingram,Center,31.1.1,Guet.sca,5,,,
Ingram,Center,31.1.1,Rhus.cop,1,,,
Ingram,Center,31.1.1,Viti.rot,1,,,
Ingram,Center,31.1.1,Anga.ber,1,,,
Ingram,Center,31.1.1,Rhyn.ren,1,,,
Ingram,Center,31.1.1,Andr.glo,1,,,
Ingram,Center,31.1.1,Symp.adn,1,,,
Ingram,Center,31.1.1,Trag.sax,1,,,
Ingram,Center,31.1.1,Crot.pum,1,,,
Ingram,Center,31.1.1,Schi.gra,10,,,
Ingram,Center,31.1.1,Ipom.sp.,1,,,
Ingram,Center,31.1.1,Smil.aur,1,,,
Ingram,Center,31.1.1,Cham.dee,1,,,
Ingram,Center,31.1.1,Sorg.sec,5,,,
Ingram,Center,31.1.1,Acal.cha,1,,,
Ingram,Center,31.1.1,Soli.odo,1,,,
Ingram,Center,31.1.1,Schi.san,1,,,
Ingram,Center,31.1.1,Rand.acu,1,,,
Ingram,Center,31.1.10,Zami.int,,,,
Ingram,Center,31.1.10,Pter.aqu,,,,
Ingram,Center,31.1.10,Cass.fil,,,,
Ingram,Center,31.1.10,Piri.cis,,,,
Ingram,Center,31.1.10,Dich.ova,,,,
Ingram,Center,31.1.10,Dich.aci,,,,
Ingram,Center,31.1.10,Phyl.pen,,,,
Ingram,Center,31.1.10,Pasp.blo,,,,
Ingram,Center,31.1.10,Pass.sub,,,,
Ingram,Center,31.1.10,Rhyn.flo,,,,
Ingram,Center,31.1.10,Anem.adi,,,,
Ingram,Center,31.1.10,Gala.sp.,,,,
Ingram,Center,31.1.10,Smil.hav,,,,
Ingram,Center,31.4.1,Pter.aqu,1,,,
Ingram,Center,31.4.1,Pinu.ell,1,,,
Ingram,Center,31.4.1,Myrs.cub,1,,,
Ingram,Center,31.4.1,Mico.bic,1,,,
Ingram,Center,31.4.1,Sere.rep,1,,,
Ingram,Center,31.4.1,Rhus.cop,1,,,
Ingram,Center,31.4.1,Soli.odo,1,,,
Ingram,Center,31.4.1,Pasp.cae,5,,,
Ingram,Center,31.4.1,Sorg.sec,5,,,
Ingram,Center,31.4.1,Cass.fil,1,,,
Ingram,Center,31.4.1,Agal.fas,1,,,
Ingram,Center,31.4.1,Rhyn.ren,1,,,
Ingram,Center,31.4.1,Trag.sax,1,,,
Ingram,Center,31.4.1,Anem.adi,1,,,
Ingram,Center,31.4.1,Schi.san,5,,,
Ingram,Center,31.4.1,Andr.ter,1,,,
Ingram,Center,31.4.1,Gala.sma,1,,,
Ingram,Center,31.4.1,Anga.ber,1,,,
Ingram,Center,31.4.1,Piri.cis,1,,,
Ingram,Center,31.4.1,Phyl.pen,1,,,
Ingram,Center,31.4.1,unkn.aste,1,,,
Ingram,Center,31.4.1,Symp.adn,1,,,
Ingram,Center,31.4.1,Pasp.blo,1,,,
Ingram,Center,31.4.1,Smil.sp.,1,,,
Ingram,Center,31.4.10,Zami.int,,,,
Ingram,Center,31.4.10,Smil.aur,,,,
Ingram,Center,31.4.10,Andr.glo,,,,
Ingram,Center,31.4.10,Gali.ber,,,,
Ingram,Center,31.4.10,Cros.ili,,,,
Ingram,Center,31.4.10,Dich.aci,,,,
Ingram,Center,31.4.10,Crot.lin,,,,
Ingram,Center,31.4.10,Rhyn.ren,,,,
Ingram,Center,31.4.10,Acal.cha,,,,
Ingram,Center,31.4.10,Schi.gra,,,,
Ingram,Center,31.4.10,Anem.adi,,,,
Ingram,Center,31.4.10,unkn.aste,,,,
Ingram,Center,31.4.10,Chio.pin,,,,
Ingram,Center,31.4.10,Pass.sub,,,,
Ingram,Center,31.4.10,Mori.roy,,,,
Ingram,Center,31.4.10,Guet.sca,,,,
Ingram,Center,31.4.10,Rand.acu,,,,
