Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
Lucille,Center,31.1.1,anem.adi,5,,,
Lucille,Center,31.1.1,myrs.cub,5,,,
Lucille,Center,31.1.1,thel.kun,5,,,
Lucille,Center,31.1.1,bacc.glo,1,,,
Lucille,Center,31.1.1,chio.pin,25,,,
Lucille,Center,31.1.1,meto.tox,1,,,
Lucille,Center,31.1.1,andr.glo,5,,,
Lucille,Center,31.1.1,erag.ell,1,,,
Lucille,Center,31.1.1,pter.bah,1,,,
Lucille,Center,31.1.1,schi.gra,1,,,
Lucille,Center,31.1.1,pasp.cae,5,,,
Lucille,Center,31.1.1,side.sal,1,,,
Lucille,Center,31.1.1,guap.dis,1,,,
Lucille,Center,31.1.10,mika.sca,,,,
Lucille,Center,31.1.10,pass.sub,,,,
Lucille,Center,31.1.10,bide.alb,,,,
Lucille,Center,31.1.10,phys.wal,,,,
Lucille,Center,31.1.10,sola.don,,,,
Lucille,Center,31.1.10,pasp.blo,,,,
Lucille,Center,31.1.10,mico.bic,,,,
Lucille,Center,31.1.10,saba.pal,,,,
Lucille,Center,31.1.10,pers.pal,,,,
Lucille,Center,31.1.10,samo.ebr,,,,
Lucille,Center,31.4.1,anem.adi,10,,,
Lucille,Center,31.4.1,phys.wal,1,,,
Lucille,Center,31.4.1,pter.bah,10,,,
Lucille,Center,31.4.1,thel.kun,1,,,
Lucille,Center,31.4.1,mela.ang,5,,,
Lucille,Center,31.4.1,schi.gra,10,,,
Lucille,Center,31.4.1,pasp.blo,10,,,
Lucille,Center,31.4.1,byrs.luc,5,,,
Lucille,Center,31.4.1,chio.pin,10,,,
Lucille,Center,31.4.1,phys.car,1,,,
Lucille,Center,31.4.1,pass.sub,1,,,
Lucille,Center,31.4.1,trem.mic,1,,,
Lucille,Center,31.4.10,fore.seg,,,,
Lucille,Center,31.4.10,andr.glo,,,,
Lucille,Center,31.4.10,viti.rot,,,,
Lucille,Center,31.4.10,schi.rhi,,,,
Lucille,Center,31.4.10,cham.hys,,,,
Lucille,Center,31.4.10,mika.sca,,,,
Lucille,Center,31.4.10,cham.hir,,,,
Lucille,Center,31.4.10,cony.can,,,,
Lucille,Center,31.4.10,rhyn.min,,,,
Lucille,Center,31.4.10,chap.alb,,,,
Lucille,Center,31.4.10,guap.dis,,,,
Lucille,Center,31.4.10,mitr.pet,,,,
Lucille,Center,31.4.10,dich.dic,,,,
Lucille,Center,31.4.10,bacc.glo,,,,
Lucille,Center,31.4.10,cham.hyp,,,,
Lucille,Center,31_100,clad.jam,,,,
Lucille,Center,31_100,soli.lea,,,,
Lucille,Center,31_100,neyr.rey,,,,
Lucille,Center,31_100,smil.aur,,,,
Lucille,Center,31_100,mori.roy,,,,
