Site,Plot,Subplot,GenusSpecies,CoverPerc,Family,Genus,Species
West Biscayne,Center,31.1.1,chio.alb,1,,,
West Biscayne,Center,31.1.1,pter.aqu,10,,,
West Biscayne,Center,31.1.10,call.ame,,,,
West Biscayne,Center,31.1.10,rhus.cop,,,,
West Biscayne,Center,31.1.10,sere.rep,,,,
West Biscayne,Center,31.1.10,mico.bic,,,,
West Biscayne,Center,31.1.10,lant.sp.,,,(str/dep),
West Biscayne,Center,31.1.10,meto.tox,,,,
West Biscayne,Center,31.1.10,trag.sax,,,,
West Biscayne,Center,31.1.10,gali.ber,,,,
West Biscayne,Center,31.1.10,crot.sp.,,,(pal/spe),
West Biscayne,Center,31.1.10,viti.rot,,,,
West Biscayne,Center,31.1.10,fore.seg,,,,
West Biscayne,Center,31.1.10,andr.glo,,,,
West Biscayne,Center,31.1.10,berl.sub,,,,
West Biscayne,Center,31.1.10,schi.ter,,,,
West Biscayne,Center,31.1.10,dich.aci,,,,
West Biscayne,Center,31.1.10,phyl.pen,,,,
West Biscayne,Center,31.1.10,schi.fras,,,,
West Biscayne,Center,31.4.1,pinu.ell,5,,,
West Biscayne,Center,31.4.1,sere.rep,30,,,
West Biscayne,Center,31.4.1,meto.tox,10,,,
West Biscayne,Center,31.4.1,trag.sax,1,,,
West Biscayne,Center,31.4.1,phyl.pen,1,,,
West Biscayne,Center,31.4.1,chio.pin,5,,,
West Biscayne,Center,31.4.1,jasm.dic,1,,,
West Biscayne,Center,31.4.10,saba.pal,,,,
West Biscayne,Center,31.4.10,mico.bic,,,,
West Biscayne,Center,31.4.10,koan.vil,,,,
West Biscayne,Center,31.4.10,fore.seg,,,,
West Biscayne,Center,31.4.10,dysc.ang,,,,
West Biscayne,Center,31.4.10,scle.cil,,,,
West Biscayne,Center,31.4.10,cham.dee,,,,
West Biscayne,Center,31.4.10,cass.fil,,,,
West Biscayne,Center,31.4.10,meal.par,,,,
West Biscayne,Center,31.4.10,crot.lin,,,,
West Biscayne,Center,31.4.10,pter.aqu,,,,
West Biscayne,Center,31.4.10,pasp.cae,,,,
West Biscayne,Center,31.4.10,viti.rot,,,,
West Biscayne,Center,31.4.10,eust.pet,,,,
West Biscayne,Center,31.4.10,acal.cha,,,,
West Biscayne,Center,31.4.10,pity.gra,,,,
West Biscayne,Center,31.4.10,rhyn.flo,,,,
West Biscayne,Center,31.4.10,rhyn.ren,,,,
West Biscayne,Center,31.4.10,zami.int,,,,
West Biscayne,Center,31.4.10,sach.pol,,,,
West Biscayne,Center,31.4.10,call.ame,,,,
West Biscayne,Center,31.4.10,phys.wal,,,,
West Biscayne,Center,31.4.10,lant.sp.,,,(str/dep),
West Biscayne,Center,31.4.10,cent.vir,,,,
West Biscayne,Center,31.4.10,piri.cis,,,,
West Biscayne,Center,31.4.10,schi.san,,,,
West Biscayne,Center,31.4.10,pass.sub,,,,
West Biscayne,Center,31.4.10,gali.ber,,,,
West Biscayne,Center,31.4.10,mori.roy,,,,
West Biscayne,Center,31.4.10,schi.gra,,,,
West Biscayne,Center,31.4.10,dich.aci,,,,
West Biscayne,Center,31.4.10,dich.ova,,,,
West Biscayne,Center,31.4.10,ayen.eup,,,,
West Biscayne,Center,31.4.10,phle.aur,,,,
West Biscayne,Center,31.4.10,ardi.esc,,,,
West Biscayne,Center,31.4.10,part.qui,,,,
