Location,Site,SiteCode,GenusSpecies,CoverPerc,Family,Genus,Species
Wilkins-Pierson Preserve ,Center,31.1.1,Sere.rep,20,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Cham.dee,5,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Zami.int,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Mori.roy,5,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Asem.vio,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Pter.pyc ,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Anga.ber,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Rhyn.cin,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Pasp.blo,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,andr.sp.,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Quer.pum,1,,,
Wilkins-Pierson Preserve ,Center,31.1.1,Crot.lin,1,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Rhus.cop,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Saba.pal,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Rand.acu,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Guet.sca,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Call.ame,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Soli.odo,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Dich.aci,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Geob.obl,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Bide.alb,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Dich.ens,,,,
Wilkins-Pierson Preserve ,Center,31.1.10,Chap.alb,,,,
Wilkins-Pierson Preserve ,Center,31.4.1,,,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Sere.rep,10,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Rhus.cop,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Zami.int,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Quer.pum,10,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Soli.odo,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Echi.umb,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Euph.pol,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Dich.ova,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Cham.sp.,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Mori.roy,1,,,
Wilkins-Pierson Preserve ,Center,31.4.1,Dich.str,1,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Mori.roy,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Guet.sca,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Saba.pal,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Dich.aci,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Soli.odo,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Bulb.cil,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Dich.ova,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Dysc.ang,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Euph.pol,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Rhyn.cin,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Dich.str,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Andr.sp.,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Anga.ber,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Cype.sp.,,,,
Wilkins-Pierson Preserve ,Center,31.4.10,Cnid.sti,,,,
Wilkins-Pierson Preserve ,Center,31,Cham.dee,,,,
Wilkins-Pierson Preserve ,Center,31,Crot.lin,,,,
Wilkins-Pierson Preserve ,Center,31,Acal.cha,,,,
Wilkins-Pierson Preserve ,Center,31,Asem.vio,,,,
Wilkins-Pierson Preserve ,Center,31,Phle.aur,,,,
Wilkins-Pierson Preserve ,Center,31,Anga.ber,,,,
Wilkins-Pierson Preserve ,Center,31,Symp.adn,,,,
Wilkins-Pierson Preserve ,Center,31,Rhyn.sp.,,,,
Wilkins-Pierson Preserve ,Center,31,Mico.bic,,,,
Wilkins-Pierson Preserve ,Center,31,Smil.aur,,,,
Wilkins-Pierson Preserve ,Center,31,Ambr.art,,,,
Wilkins-Pierson Preserve ,Center,31,Cros.ili,,,,
Wilkins-Pierson Preserve ,Center,31,Geob.obl,,,,
Wilkins-Pierson Preserve ,Center,31,Quer.vir,,,,
Wilkins-Pierson Preserve ,Center,31,Anem.adi,,,,
Wilkins-Pierson Preserve ,Center,31,Rhyn.cin,,,,
Wilkins-Pierson Preserve ,Center,31,Lant.inv,,,,
Wilkins-Pierson Preserve ,Center,31,Stil.syl,,,,
Wilkins-Pierson Preserve ,Center,31,Trag.ure,,,,
Wilkins-Pierson Preserve ,Center,31,Dich.ova,,,,
Wilkins-Pierson Preserve ,Center,31,Gali.ber,,,,
Wilkins-Pierson Preserve ,Center,31,Dysc.ang,,,,
Wilkins-Pierson Preserve ,Center,32.2.1,,,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Quer.pum,10,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Acal.cha,1,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Pasp.cae,1,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Chio.pin,5,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Mori.roy,10,,,
Wilkins-Pierson Preserve ,Center,32.2.1,C ham.dee,5,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Rand.acu,1,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Rhun.cin,1,,,
Wilkins-Pierson Preserve ,Center,32.2.1,Rhus.cop,1,,,
Wilkins-Pierson Preserve ,Center,32.1.1,Bide.alb,1,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Cocc.arg,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Cnid.sti,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Schi.ter,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Saba.pal,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Anga.ber,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Zami.pum,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Trag.ure,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Asem.vio,,,,
Wilkins-Pierson Preserve ,Center,32.2.10,Andr.sp.,,,,
Wilkins-Pierson Preserve ,Center,32.4.1,,,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Sere.rep,35,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Quer.pum,40,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Rhus.cop,20,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Zami.int,1,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Cham.fas,5,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Euph.pol,1,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Mori.roy,1,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Guet.sca,5,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Rhyn.cin,1,,,
Wilkins-Pierson Preserve ,Center,32.4.1,Dich.ova,1,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Stil.syl,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Cnid.sti,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Soli.odo,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Toxi.rad,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Pter.pyc ,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Chio.pin,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Anga.ber,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Cham.dee,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Acal.cha,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Asem.vio,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Boul.cil,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Sper.ver,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Dysc.ang,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Pasp.cae,,,,
Wilkins-Pierson Preserve ,Center,32.4.10,Dich.ens,,,,
Wilkins-Pierson Preserve ,Center,32,Call.ame,,,,
Wilkins-Pierson Preserve ,Center,32,Euph.pol,,,,
Wilkins-Pierson Preserve ,Center,32,Anga.ber,,,,
Wilkins-Pierson Preserve ,Center,32,Pass.sub,,,,
Wilkins-Pierson Preserve ,Center,32,Dich.ova,,,,
Wilkins-Pierson Preserve ,Center,32,Rand.acu,,,,
Wilkins-Pierson Preserve ,Center,32,Smil.aur,,,,
