Family,Native,"Non-native, established","Non-native, not established",Uncertain
Asteraceae,15,2,0,2
Poaceae,11,4,0,2
Cyperaceae,8,1,0,1
Fabaceae,1,6,0,1
Bromeliaceae,6,0,0,0
Euphorbiaceae,5,1,0,0
Anacardiaceae,2,1,0,0
Rubiaceae,1,2,0,0
Xyridaceae,2,0,0,1
Annonaceae,2,0,0,0
Apiaceae,2,0,0,0
Arecaceae,2,0,0,0
Commelinaceae,1,1,0,0
Ericaceae,2,0,0,0
Fagaceae,2,0,0,0
Malvaceae,1,1,0,0
Myrtaceae,0,2,0,0
Onagraceae,1,1,0,0
Plantaginaceae,2,0,0,0
Smilacaceae,2,0,0,0
Vitaceae,2,0,0,0
Aquifoliaceae,1,0,0,0
Blechnaceae,1,0,0,0
Cucurbitaceae,1,0,0,0
Eriocaulaceae,1,0,0,0
Lamiaceae,1,0,0,0
Lauraceae,1,0,0,0
Lythraceae,0,1,0,0
Melastomataceae,1,0,0,0
Myricaceae,1,0,0,0
Myrsinaceae,1,0,0,0
Orchidaceae,1,0,0,0
Oxalidaceae,1,0,0,0
Phyllanthaceae,0,1,0,0
Pinaceae,1,0,0,0
Polygonaceae,1,0,0,0
Polypodiaceae,1,0,0,0
Portulacaceae,1,0,0,0
Rosaceae,1,0,0,0
Schizaeaceae,0,1,0,0
Tetrachondraceae,1,0,0,0
Urticaceae,1,0,0,0
Verbenaceae,1,0,0,0
