Family,Certainty level for identification,Code(Cliff),Genus,Species,Block (B means Block),Site gr (grass) or cc (cover crop),Plot,Subplot,OrderNo,Date,CoverPerc,Soil,Rock,Wood,Litter,StandingDead,Water,Lichen,Moss,OtherNonVascular,Scat,CameraID,Code(Dan),Comments,Site,Corner,Location,Year,Month,Day,Height>3m,Status,Cluster,MorphospeciesID,TaxonID,Collected,Authority
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,31.1.1,_01,2-Mar-20,20,10,60,<1,<1,0,0,0,0,0,0,1,medi.lup,,31,SW,VF,2020,3,2,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B01,cc,B01cc,31.1.1,_02,2-Mar-20,5,,,,,,,,,,,,oeno.lac,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B01,cc,B01cc,31.1.1,_03,2-Mar-20,1,,,,,,,,,,,,part.hys,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,CenEch,Cenchrus,echinatus,B01,cc,B01cc,31.1.1,_04,2-Mar-20,1,,,,,,,,,,,,cen.ech,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,PasFim,Paspalum,fimbriatum,B01,cc,B01cc,31.1.1,_05,2-Mar-20,<1,,,,,,,,,,,,pasp.fim,,31,SW,VF,2020,3,2,,,,,,,
Oxal,ToSpp,OxaLat,Oxalis,latifolia,B01,cc,B01cc,31.1.1,_06,2-Mar-20,<1,,,,,,,,,,,,oxal.lat,,31,SW,VF,2020,3,2,,,,,,,
Phyl,ToSpp,PhyAma,Phyllanthus,amarus,B01,cc,B01cc,31.1.1,_07,2-Mar-20,<1,,,,,,,,,,,,phyl.ama,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,TriPro,Tridax,procumbens,B01,cc,B01cc,31.1.1,_08,2-Mar-20,<1,,,,,,,,,,,,tri.pro,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,BidAlb,Bidens,alba,B01,cc,B01cc,31.1.1,_09,2-Mar-20,<1,,,,,,,,,,,,bid.alb,,31,SW,VF,2020,3,2,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B01,cc,B01cc,31.1.1,_10,2-Mar-20,<1,,,,,,,,,,,,ana.arv,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,EmiFos,Emilia,fosbergii,B01,cc,B01cc,31.1.1,_11,2-Mar-20,<1,,,,,,,,,,,,emi.fos,,31,SW,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,31.1.1,_12,2-Mar-20,<1,,,,,,,,,,,,cyp.sp,,31,SW,VF,2020,3,2,,,,,,,
Euph,ToSpp,ChaHyp,Chamaesyce,hypericifolia,B01,cc,B01cc,31.1.1,_13,2-Mar-20,<1,,,,,,,,,,,,chama.hyp,,31,SW,VF,2020,3,2,,,,,,,
Euph,gSbGn,ChaHi/Op,Chamaesyce,sp.(hir/opt),B01,cc,B01cc,31.1.1,_14,2-Mar-20,<1,,,,,,,,,,,,cham.hir/opt,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B01,cc,B01cc,31.1.10,_01,2-Mar-20,NA,,,,,,,,,,,,sorg.bic,,31,SW,VF,2020,3,2,,,,,,,
Bras,ToSpp,LepVir,Lepidium,virginicum,B01,cc,B01cc,31.1.10,_02,2-Mar-20,NA,,,,,,,,,,,,lep.vir,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitara,ciliaris,B01,cc,B01cc,31.1.10,_03,2-Mar-20,NA,,,,,,,,,,,,digi.cil,,31,SW,VF,2020,3,2,,,,,,,
Nyct,ToSpp,BoeEre,Boerhavia,erecta,B01,cc,B01cc,31.1.10,_04,2-Mar-20,NA,,,,,,,,,,,,boe.ere,,31,SW,VF,2020,3,2,,,,,,,
Amar,Genus,AmaSp.,Amaranthus,sp.,B01,cc,B01cc,31.1.10,_05,2-Mar-20,NA,,,,,,,,,,,,Amar.sp,,31,SW,VF,2020,3,2,,,,,,,
Faba,ToSpp,MedLup,Medicago,lupulina,B01,cc,B01cc,31.4.1,_01,2-Mar-20,3,15,55,<1,3,<1,0,0,0,<1,0,2,medi.lup,,31,SW,VF,2020,3,2,,,,,,,
Onag,ToSpp,OenLac,Oenothera,laciniata,B01,cc,B01cc,31.4.1,_02,2-Mar-20,<2,,,,,,,,,,,,oeno.lac,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,SorBic,Sorghum,bicolor,B01,cc,B01cc,31.4.1,_03,2-Mar-20,2,,,,,,,,,,,,sorg.bic,,31,SW,VF,2020,3,2,,,,,,,
Myrs,ToSpp,LysArv,Lysimachia,arvensis,B01,cc,B01cc,31.4.1,_04,2-Mar-20,2,,,,,,,,,,,,ana.arv,,31,SW,VF,2020,3,2,,,,,,,
Aste,ToSpp,ParHys,Parthenium,hysterophorus,B01,cc,B01cc,31.4.1,_05,2-Mar-20,1,,,,,,,,,,,,part.hys,,31,SW,VF,2020,3,2,,,,,,,
Poac,ToSpp,DigCil,Digitaria,ciliaris,B01,cc,B01cc,31.4.1,_06,2-Mar-20,2,,,,,,,,,,,,digi.cil,,31,SW,VF,2020,3,2,,,,,,,
Cype,Genus,CypSp.,Cyperus,sp.,B01,cc,B01cc,31.4.1,_07,2-Mar-20,<1,,,,,,,,,,,,cyp.sp,,31,SW,VF,2020,3,2,,,,,,,
