block,site,code,genus,species,uncertain,%cover,ht >3m (x),remarks
1,N,31.1.1,Crotalaria,juncea,,15,N,
1,N,31.1.1,Sorghum,bicolor,,2,N,
1,N,31.1.1,Lepidium,virginianum,,<1,N,
1,N,31.1.1,Oxalis,latifolia,,<1,N,
1,N,31.1.1,Phyllanthus,amarus,,<1,N,
1,N,31.1.1,,,Grass,<1,N,
1,N,31.1.1,Acalypha,sp,,<1,N,
1,N,31.1.1,Eragrostis,barrelieri,,<1,N,
1,N,31.1.1,Chamaesyce,sp,hirta or opthalmica,<1,N,
1,N,31.1.1,Anagallis,arvensis,,<1,N,
1,N,31.1.1,Medicago,lupulina,,<1,N,
1,N,31.1.1,Oenothera,laciniata,,<1,N,
1,N,31.1.10,Acalypha,alopecuroidea,,,,
1,N,31.1.10,Medicago,lupulina,,,,
1,N,31.1.10,Portulaca,oleracea,,,,
1,N,31.1.10,Chamaesyce,sp,hirta or opthalmica,,,
1,N,31.1.10,Amaranthus,sp,spinosus or hybridus,,,
1,N,31.4.1,Crotalaria,juncea,,5,N,
1,N,31.4.1,Sorghum,bicolor,,1,N,
1,N,31.4.1,Phyllanthus,amarus,,<1,N,
1,N,31.4.1,Anagallis,arvensis,,<1,N,
1,N,31.4.1,Medicago,lupulina,,<1,N,
1,N,31.4.1,Eragrostis,barrelieri,,<1,N,
1,N,31.4.1,Oenothera,laciniata,,,,
1,N,31.4.1,Oxalis,latifolia,,,,
1,N,31.4.1,Portulaca,oleracea,,,,
1,N,31.4.10,Oxalis,latifolia,,,,
1,N,31.4.10,Medicago,lupulina,,,,
1,N,31.4.10,,,Unusual,,,Marked with 2X flags
1,N,31.4.10,Cyperus,rotundus,,,,
1,N,31.4.10,Portulaca,oleracea,,,,
1,N,31.4.10,Nama,jamaicensis,,,,
1,N,31.4.10,Portulaca,oleracea,,,,
1,N,31.4.10,Chamaesyce,sp,hirta or opthalmica,,,
1,N,31.4.10,Eleusine,indica,,,,UG Poaceae
1,N,31,Cyperus,rotundus,,,,
1,N,31,,,Dicot,,,Resembles Cajanus cajan (pigeon pea)
1,N,31,Eleusine,indica,,,,
1,N,31,Macroptilium,lathyroides,,,,
1,N,31,Chenopodium,album,,,,
1,N,31,Amaranthus,spinosus,,,,
1,N,31,Chamaesyce,hyssopifolia,,,,
1,N,31,,,Dicot,,,
1,N,31,Spermacoce,sp,,,,
1,N,31,Urochloa,sp,,,,
1,N,31,Chamaesyce,opthalmica,,,,
1,N,31,Chamaesyce,hirta,,,,
1,N,31,Chamaesyce,hyperissifolia,,,,
1,N,31,Nama,jamaicensis,,,,
1,N,31,Digitaria,ciliaris,,,,
1,N,31,Amaranthus,hybridus,,,,
1,N,31,Phyllanthus,amarus,,,,
1,N,31,Acalypha,sp,,,,
1,N,31,Parthenium,hysterophorus,,,,
1,N,31,Tridax,procumbens,,,,
1,N,31,Indigofera,spicata,,,,
1,N,32.2.1,Oxalis,latifolia,,<1,N,
1,N,32.2.1,Euphorbia,heterophylla,,<1,N,
1,N,32.2.1,Cyperus,rotundus,,<1,N,
1,N,32.2.1,Setaria,parviflora,,<1,N,
1,N,32.2.1,Amaranthus,sp,,<1,N,
1,N,32.2.1,Boerhavia,erecta,,<1,N,
1,N,32.2.1,Medicago,lupulina,,,,
1,N,32.2.1,Anagallis,arvensis,,,,
1,N,32.2.1,Acalypha,alopecuroidea,,,,
1,N,32.2.1,Tridax,procumbens,,,,
1,N,32.2.1,Chenopodium,album,,,,
1,N,32.2.1,Chamaesyce,hirta,,,,
1,N,32.2.1,Spermacoce,remota,,,,
1,N,32.2.10,Phyllanthus,amarus,,,,
1,N,32.2.10,Chenopodium,album,,,,
1,N,32.2.10,Eleusine,indica,,,,
1,N,32.2.10,Cyperus,rotundus,,,,
1,N,32.2.10,Acalypha,sp,spinosus or hybridus,,,
1,N,32.2.10,Oenethera,laciniata,,,,
1,N,32.2.10,Tridax,procumbens,,,,
1,N,32.2.10,Cyperus,rotundus,,,,
1,N,32.2.10,Setaria,parviflora,,,,
1,N,32.2.10,Amaranthus,sp,spinosus or hybridus,,,
1,N,32.2.10,Sida,ulmifolia,,,,
1,N,32.2.10,Parthenium,hysterophorus,,,,
1,N,32.2.10,Lepidium,virginianum,,,,
1,N,32.2.10,Nama,jamaicensis,,,,
1,N,32.2.10,Macroptilium,lathyroides,,,,
1,N,32.2.10,Chamaesyce,opthalmica,,,,
1,N,32.4.1,Boerhavia,erecta,,<1,N,
1,N,32.4.1,Acalypha,sp,,<1,N,
1,N,32.4.1,Euphorbia,heterophylla,,<1,N,
1,N,32.4.1,Cyperus,rotundus,,<1,N,
1,N,32.4.1,Medicago,lupulina,,,,
1,N,32.4.1,Anagallis,arvensis,,,,
1,N,32.4.1,Oenothera,laciniata,,,,
1,N,32.4.1,Acalypha,alopecuroidea,,,,
1,N,32.4.1,Oxalis,latifolia,,,,
1,N,32.4.1,Amaranthus,spinosus,,,,
1,N,32.4.1,Amaranthus,sp,,,,
1,N,32.4.1,Setaria,parviflora,,,,
1,N,32.4.1,Chenopodium,album,,,,
1,N,32.4.10,Setaria,parviflora,,,,
1,N,32.4.10,Chamaesyce,sp,spinosus or hybridus,,,
1,N,32.4.10,,,Grass,,,
1,N,32.4.10,Amaranthus,sp,,,,
1,N,32.4.10,Sida,ulmifolia,,,,
1,N,32.4.10,Amaranthus,polygnoides,,,,
1,N,32.4.10,Phyllanthus,amarus,,,,
1,N,32.4.10,Portulaca,oleracea,,,,
1,N,32.4.10,Chenopodium,album,,,,
1,N,32.4.10,Parthenium,hysterophorus,,,,
1,N,32.4.10,Chamaesyce,sp,spinosus or hybridus,,,
1,N,32.4.10,Sola,nig,,,,
1,N,32.4.10,Amaranthus,spinosis,,,,
1,N,32.4.10,Digitaria,ciliaris,,,,
1,N,32.4.10,Cyperus,rotundus,,,,
1,N,32.4.10,Eragrostis,barrelieri,,,,
1,N,32.4.10,Eleusine,indica,,,,
1,N,32.4.10,Nama,jamaicensis,,,,
1,N,32.4.10,Chamaesyce,opthalmica,,,,
1,N,32.4.10,Spermacoce,remota,,,,
1,N,32.4.10,Chamaesyce,hyssopifolia,,,,
1,N,32,Digitaria,ciliaris,,,,
1,N,32,Medicago,lupulina,,,,
1,N,32,Oenethera,laciniata,,,,
1,N,32,Echinochloa,colona,,,,
1,N,32,Lepidium,virginianum,,,,
1,N,32,Eragrostis,barrelieri,,,,
1,N,32,,,Grass,,,
1,N,32,Macroptilium,lathyroides,,,,
1,N,32,Parthenium,hysterophorus,,,,
1,N,32,Digitaria,ciliaris,,,,
1,N,32,Cenchrus,echinatus,,,,
1,N,32,Acalypha,setosa,,,,
1,N,32,Spermacoce,remota,,,,
1,N,32,Emilia,fosbergii,,,,
1,N,32,Eclipta,prostrata,,,,
1,N,32,Rottboellia,cochinchinensis,,,,
1,N,32,Portulaca,oleracea,,,,
1,N,32,Phyllanthus,amarus,,,,
1,N,40.1.1,Crotalaria,juncea,,30,N,
1,N,40.1.1,Sorghum,bicolor,,5,N,
1,N,40.1.1,Medicago,lupulina,,<1,N,
1,N,40.1.1,Phyllanthus,amarus,,<1,N,
1,N,40.1.1,Eragrostis,barrelieri,,<1,N,
1,N,40.1.1,Oxalis,latifolia,,<1,N,
1,N,40.1.1,Eleusine,indica,,<1,N,
1,N,40.1.1,Chamaesyce,sp,hirta or opthalmica,<1,N,
1,N,40.1.1,Eleusine,indica,,<1,N,
1,N,40.1.1,Digitaria,ciliaris,,<1,N,
1,N,40.1.10,Cyperus,rotundus,,,,
1,N,40.1.10,Spermacoce,sp,,,,
1,N,40.1.10,,,Dicot,,,Sampled
1,N,40.1.10,,,Dicot,,,Sampled
1,N,40.1.10,Acalypha,alopecuroidea,,,,
1,N,40.1.10,Eleusine,indica,,,,
1,N,40.1.10,Chamaesyce,sp,hyperissifolia or hyssopifolia,,,
1,N,40.1.10,Acalypha,sp,,,,Sampled
1,N,40.1.10,Nama,jamaicensis,,,,
1,N,40.1.10,Digitaria,ciliaris,,,,
1,N,40.1.10,Chamaesyce,hirta,,,,
1,N,40.1.10,Portulaca,oleracea,,,,
1,N,40.1.10,Lepidium,virginianum,,,,
1,N,40.1.10,Eragrostis,barrelieri,,,,
1,N,40.3.1,Cyperus,rotundus,,<1,N,
1,N,40.3.1,Crotalaria,juncea,,40,N,
