Family,Native,"Non-native, established","Non-native, not established",Uncertain
Poaceae,6,19,0,0
Asteraceae,7,11,0,0
Fabaceae,3,12,0,0
Euphorbiaceae,8,3,0,0
Rubiaceae,4,3,0,0
Amaranthaceae,0,5,0,0
Sapotaceae,2,1,1,0
Verbenaceae,3,1,0,0
Acanthaceae,0,3,0,0
Brassicaceae,1,2,0,0
Cyperaceae,2,1,0,0
Moraceae,1,2,0,0
Oxalidaceae,1,2,0,0
Sapindaceae,1,1,1,0
Vitaceae,3,0,0,0
Anacardiaceae,0,2,0,0
Arecaceae,1,1,0,0
Convolvulaceae,0,2,0,0
Myrtaceae,0,1,0,1
Oleaceae,0,2,0,0
Passifloraceae,1,1,0,0
Phyllanthaceae,0,2,0,0
Plantaginaceae,2,0,0,0
Urticaceae,2,0,0,0
Apiaceae,0,1,0,0
Araliaceae,0,1,0,0
Burseraceae,1,0,0,0
Caricaceae,1,0,0,0
Caryophyllaceae,0,1,0,0
Combretaceae,1,0,0,0
Commelinaceae,0,1,0,0
Cucurbitaceae,0,1,0,0
Geraniaceae,1,0,0,0
Hydrophyllaceae,0,1,0,0
Lamiaceae,1,0,0,0
Loganiaceae,1,0,0,0
Malvaceae,1,0,0,0
Meliaceae,1,0,0,0
Myrsinaceae,0,1,0,0
Nyctaginaceae,1,0,0,0
Onagraceae,1,0,0,0
Orchidaceae,0,1,0,0
Papaveraceae,1,0,0,0
Picramniaceae,1,0,0,0
Pittosporaceae,0,1,0,0
Portulacaceae,1,0,0,0
Psilotaceae,1,0,0,0
Putranjivaceae,1,0,0,0
Rhamnaceae,1,0,0,0
Rosaceae,1,0,0,0
Rutaceae,1,0,0,0
Solanaceae,1,0,0,0
Violaceae,0,1,0,0
