genus,species,assessment
Ruellia,simplex,Invasive (No Uses)
Schinus,terebinthifolius,Prohibited
Syngonium,podophyllum,High Invasion Risk
Cocos,nucifera,Invasive
Phoenix,reclinata,Invasive
Sphagneticola,trilobata,Invasive (No Uses)
Tithonia,diversifolia,High Invasion Risk
Tridax,procumbens,Prohibited
Casuarina,equisetifolia,Prohibited
Tradescantia,spathacea,Invasive (No Uses)
Tradescantia,zebrina,Invasive
Ipomoea,triloba,High Invasion Risk
Momordica,charantia,Invasive (No Uses)
Euphorbia,heterophylla,Prohibited
Jatropha,curcas,High Invasion Risk
Ricinus,communis,High Invasion Risk
Abrus,precatorius,Prohibited
Bauhinia,variegata,Invasive (No Uses)
Millettia,pinnata,High Invasion Risk
Urena,lobata,Invasive
Ardisia,elliptica,Prohibited
Eugenia,uniflora,Invasive
Psidium,cattleianum,Invasive (No Uses)
Syzygium,cumini,Invasive (No Uses)
Nephrolepis,cordifolia,Invasive (No Uses)
Jasminum,dichotomum,Invasive (No Uses)
Jasminum,fluminense,Invasive (No Uses)
Cenchrus,purpureus,High Invasion Risk
Dactyloctenium,aegyptium,Invasive (No Uses)
Hyparrhenia,rufa,High Invasion Risk
Imperata,brasiliensis,Prohibited
Melinis,repens,Invasive (No Uses)
Neyraudia,reynaudiana,Prohibited
Rottboellia,cochinchinensis,Prohibited
Urochloa,maxima,Invasive (No Uses)
Pteris,vittata,Invasive (No Uses)
Manilkara,zapota,Invasive
Solanum,viarum,Prohibited
