Location,Site,SiteCode,Soil,Rock,Wood,Litter,StandingDead,Water,Lichen,Moss,OtherNonVascular,Scat
TREC,Lawn,31.1.1,0,0,0,0,20,0,0,0,0,0
TREC,Lawn,31.4.1,20,5,0,5,20,0,0,0,0,0
TREC,Lawn,32.2.1,5,0,0,5,25,0,0,0,0,0
TREC,Lawn,32.4.1,5,1,1,1,25,0,0,0,0,0
TREC,Lawn,40.1.1,1,0,0,20,5,0,0,0,0,0
TREC,Lawn,40.3.1,1,5,5,15,5,1,0,0,0,0
TREC,Lawn,41.1.1,0,1,0,0,40,0,0,0,1,0
TREC,Lawn,41.4.1,0.01,25,5,30,0,10,0,0,0,0
TREC,Edge,31.1.1,5,10,5,25,1,0,0,0,0,0
TREC,Edge,31.4.1,5,5,5,20,1,0,0,0,0,0
TREC,Edge,32.2.1,0,5,5,85,0.5,0,0.5,0,0,0
TREC,Edge,32.4.1,0.5,1,0.5,5,85,0,,0,0,0
TREC,Edge,40.1.1,1,1,1,25,1,0,0,0,0.05,0
TREC,Edge,40.3.1,5,30,5,10,1,0,0,0,0,0
TREC,Edge,41.1.1,1,1,0.5,90,20,0,0,0,0,0
TREC,Edge,41.4.1,5,1,1,50,30,0,0,0,0,0
TREC,Center,31.1.1,5,20,10,20,10,0,1,0,0,0
TREC,Center,31.4.1,0,15,5,70,25,0,1,0.5,0,0
TREC,Center,32.2.1,5,0,5,50,1,0,0,0,0,0
TREC,Center,32.4.1,1,1,5,50,1,0,0,0,0,0
TREC,Center,40.1.1,1,5,0,20,30,0,1,0,0,0
TREC,Center,40.3.1,1,10,1,30,0.1,0,1,0,0,0
TREC,Center,41.1.1,1,5,5,70,0,0,1,0,1,0
TREC,Center,41.4.1,1,1,1,70,0,0,0,0,0,0
Navy Wells 39,Center,31.1.1,1,5,1,5,1,0,0,0,0,0
Navy Wells 39,Center,31.4.1,5,10,1,5,0,0,0,0.01,0,0
Navy Wells 39,Center,32.2.1,1,10,0,30,1,0,0.5,0,0,0
Navy Wells 39,Center,32.4.1,1,10,0,20,0,0,1,0,0,0
Navy Wells 39,Center,40.1.1,1,30,0,20,1,0,1,0,0.5,0
Navy Wells 39,Center,40.3.1,1,10,1,20,0.1,0,1,0,0,0
Navy Wells 39,Center,41.1.1,5,25,1,10,20,0,0,0,1,0
Navy Wells 39,Center,41.4.1,1,15,1,20,20,0,0,1,1,0
Navy Wells 39,Edge,31.1.1,1,1,1,20,1,0,1,0,1,0
Navy Wells 39,Edge,31.4.1,5,35,1,30,0.5,0,5,0,0,0
Navy Wells 39,Edge,32.2.1,1,1,10,60,10,0,1,0,0,0
Navy Wells 39,Edge,32.4.1,5,15,0,10,40,0,0,0,1,0
Navy Wells 39,Edge,40.1.1,5,30,1,30,1,0,5,0,1,0
Navy Wells 39,Edge,40.3.1,10,20,5,30,1,0,5,0,0,0
Navy Wells 39,Edge,41.1.1,1,10,0,10,45,0,1,0,1,0
Navy Wells 39,Edge,41.4.1,1,60,1,30,5,0,1,0,5,0
Fuchs Addition,Center,31.1.1,1,10,10,70,5,0,1,1,1,0
Fuchs Addition,Center,31.4.1,10,25,10,25,15,0,0,1,0,0
