Location,Site,SiteCode,GenusSpecies,CoverPerc,Family,Genus,Species
TREC,Lawn,31.1.1,sida.ulm,10,,,
TREC,Lawn,31.1.1,digi.cil,60,,,
TREC,Lawn,31.1.1,indi.spi,5,,,
TREC,Lawn,31.1.1,alys.vag,1,,,
TREC,Lawn,31.1.1,cyno.dac,5,,,
TREC,Lawn,31.1.1,ruel.ble,1,,,
TREC,Lawn,31.1.1,oxal.cor,1,,,
TREC,Lawn,31.1.1,desm.tri,1,,,
TREC,Lawn,31.1.1,pasp.not,1,,,
TREC,Lawn,31.1.10,cham.hir,,,,
TREC,Lawn,31.1.10,salv.occ,,,,
TREC,Lawn,31.1.10,euph.men,,,,
TREC,Lawn,31.1.10,dich.ari,,,,
TREC,Lawn,31.1.10,ruel.cil,,,,
TREC,Lawn,31.4.1,bide.alb,5,,,
TREC,Lawn,31.4.1,ruel.ble,1,,,
TREC,Lawn,31.4.1,indi.min,1,,,
TREC,Lawn,31.4.1,alys.vag,5,,,
TREC,Lawn,31.4.1,rich.gra,1,,,
TREC,Lawn,31.4.1,ruel.cil,1,,,
TREC,Lawn,31.4.1,spor.pyr,1,,,
TREC,Lawn,31.4.1,pasp.not,25,,,
TREC,Lawn,31.4.1,cham.hir,1,,,
TREC,Lawn,31.4.1,styl.ham,1,,,
TREC,Lawn,31.4.1,desm.tri,1,,,
TREC,Lawn,31.4.1,pasp.cae,1,,,
TREC,Lawn,31.4.1,sida.ulm,1,,,
TREC,Lawn,31.4.1,erem.oph,1,,,
TREC,Lawn,31.4.1,acal.cha,1,,,
TREC,Lawn,31.4.1,ayen.eup,1,,,
TREC,Lawn,31.4.10,saba.pal,,,,
TREC,Lawn,31.4.10,pile.mic,,,,
TREC,Lawn,31.4.10,trid.pro,,,,
TREC,Lawn,31.4.10,schi.san,,,,
TREC,Lawn,31_100,dich.ari,,,,
TREC,Lawn,31_100,opun.coc,,,,
TREC,Lawn,31_100,part.hys,,,,
TREC,Lawn,31_100,pass.sub,,,,
TREC,Lawn,31_100,medi.lup,,,,
TREC,Lawn,31_100,cype.cro,,,,
TREC,Lawn,31_100,cenc.spi,,,,
TREC,Lawn,31_100,caly.via,,,,
TREC,Lawn,32.2.1,sida.ulm,20,,,
TREC,Lawn,32.2.1,pasp.not,5,,,
TREC,Lawn,32.2.1,digi.cil,10,,,
TREC,Lawn,32.2.1,cham.hir,5,,,
TREC,Lawn,32.2.1,oxal.cor,1,,,
